id,name,title,is_virtual_fg,description,parents,includes,path
type.214,basic-event,Basic Event,0,,type.67,,/type.13/type.67/type.214
type.215,ionDB,Generic ionDB,0,Generic ionDB type,type.67,,/type.13/type.67/type.215
type.216,u-ionAnnot,ionAnnot type,0,Annotation file in ionDB format,type.215,,/type.13/type.67/type.215/type.216
type.217,subject-baseline-example,Subject Baseline Example,0,Simple examples for testing survival analysis,type.67,,/type.13/type.67/type.217
type.218,svc-dna-velvet,Velvet de Novo,0,Svc to launch velvet de novo via generic launcher,type.68,,/type.13/type.67/type.16/type.331/type.68/type.218
type.219,svc-dna-pipeline,Dna-Pipeline,0,Svc to lauch dna-pipeline to string together other services using each one's output as the input for the next.,type.331,,/type.13/type.67/type.16/type.331/type.219
type.220,svc-alin-hiv-pipeline,Alin's HIV Pipeline,0,Pipeline for Alin,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.220
type.221,svc-velvet-pipeline,Velvet Pipeline,0,Pipeline for Velvet,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.221
type.222,svc-dmTableToIondb,table to ionDB,0,table to ionDB format - Annotation,type.100,,/type.13/type.67/type.16/type.331/type.100/type.222
type.223,u-ionExpress,Gene Express in ion,0,Gene Express in ionDB format,type.216,,/type.13/type.67/type.215/type.216/type.223
type.224,svc-single_velvet-pipeline,Velvet Small Genome Pipeline,0,Velvet de Novo (Viral/Small Genome),type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.224
type.225,u-ionQL,ion QL Script,0,ion QL Script files to store query procedure,type.215,,/type.13/type.67/type.215/type.225
type.226,u-idList,id list,0,"list of ids (genes, proteins...)",type.19,,/type.13/type.67/type.19/type.226
type.227,svc-geneExpress-launcher,Gene Expression Treatment Launcher,0,Gene Expression Process Launcher- Gene Expression Omnibus,type.331,,/type.13/type.67/type.16/type.331/type.227
type.228,HIVE_Adverse_Event_Recall_test,HIVE Adverse Event - Recall test,0,Information regarding a recall event - test,type.156,,/type.13/type.67/type.111/type.112/type.156/type.228
type.229,Product_Recall_test,Product Event test,0,Information regarding a product recall - test,type.158,,/type.13/type.67/type.111/type.158/type.229
type.230,file,File,1,,,,/type.230
type.231,svc-r-script,R-services,0,R based services,type.68,,/type.13/type.67/type.16/type.331/type.68/type.231
type.232,algorithm-r-script,Algorithmic-R-script,0,R-scripted adapted to HIVE,type.204,,/type.13/type.84/type.126/type.85/type.204/type.232
type.233,algorithm-r-expression-analysis,R- expression Analysis,0,Tools for expression analysis implemented as R scripts,type.232,,/type.13/type.84/type.126/type.85/type.204/type.232/type.233
type.234,svc-align-tblastx,TBlastX Alignment,0,TBlastX alignment engine optimized for HIVE performance,type.26,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90/type.26/type.234
type.235,svc-pathoscope,Pathoscope Pipeline,0,The pipeline for running pathoscope,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.235
type.236,u-tqs,TQS File Type,0,TQS File Type,type.19,,/type.13/type.67/type.19/type.236
type.237,svc-macs2-callpeaks,MACS2 CallPeaks Command,0,MACS2 CallPeaks Pipeline,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.237
type.238,svc-viral-mutation-comp,Viral Mutation Comparator,0,Regulatory Viral Mutation Comparator,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.238
type.239,svc-genome-comparator,Genome Comparator,0,Algorithm to compare genome similarities,type.331,,/type.13/type.67/type.16/type.331/type.239
type.240,svc-protein-rosetta_scripts,Rosetta Scripts,0,The Rosetta software suite includes algorithms for computational modeling and analysis of protein structures,type.331,,/type.13/type.67/type.16/type.331/type.240
type.241,svc-align-blastx,BlastX Alignment,0,BlastX alignment engine optimized for HIVE performance,type.26,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90/type.26/type.241
type.242,svc-idba-ud,IDBA-ud,0,"IDBA is the basic iterative de Bruijn graph assembler for second-generation sequencing reads. IDBA-UD, an extension of IDBA, is designed to utilize paired-end reads to assemble low-depth regions and use progressive depth on contigs to reduce errors in high-depth regions.",type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.242
type.243,svc-dna-insilico,Insilico Genome Randomizer,0,Generate Artificial reads from a Genome,type.331,,/type.13/type.67/type.16/type.331/type.243
type.244,core_metadata_type,Core metadata type,0,All metadata objects must inherit from this,type.67,,/type.13/type.67/type.244
type.245,svc-tnseq,TNSeq Analyzer,0,Algorithm to detect transposon insertion positions,type.331,,/type.13/type.67/type.16/type.331/type.245
type.246,HIVE_Project,HIVE Project,0,HIVE Project data model,type.252,,/type.13/type.67/type.252/type.246
type.247,HIVE_Experiment,HIVE Experiment,0,HIVE Experiment data model,type.252,,/type.13/type.67/type.252/type.247
type.248,HIVE_Protocol,HIVE Protocol,0,HIVE Protocol data model,type.252,,/type.13/type.67/type.252/type.248
type.250,svc-alignment-comparator,Alignment Comparator,0,Alignment Comparator utility,type.331,,/type.13/type.67/type.16/type.331/type.250
type.251,prot-seq,Protein,0,Protein sequences,type.19,,/type.13/type.67/type.19/type.251
type.252,core_descriptive_type,HIVE Database Information,0,Reoccuring database fields,type.67,"type.140,type.210,type.211",/type.13/type.67/type.252
type.253,target_library,Target/Filter Library,0,Target.Filter libraries for Pathoscope integration.,type.19,,/type.13/type.67/type.19/type.253
type.254,svc-computation-test,Computation Test,0,Computation Test Page,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.254
type.255,svc-CDRH-script-launcher,Script launcher for CDRH,0,Script launcher for CDRH to run R script,type.231,,/type.13/type.67/type.16/type.331/type.68/type.231/type.255
type.256,algorithm-r-cdrh-analysis,R script for CDRH,0,R script to run for CDRH,type.232,,/type.13/type.84/type.126/type.85/type.204/type.232/type.256
type.257,dropbox,Data Dropbox,0,Custom method for uploading data files,type.84,,/type.13/type.84/type.257
type.258,svc-glymps,GLYMPS,0,Mass Spectroscopy Tools for /CBER/OVRR/DBPAP/LBP,type.331,,/type.13/type.67/type.16/type.331/type.258
type.259,svc-simECG,ECG Simulation,0,ECG Simulation Analysis,type.331,,/type.13/type.67/type.16/type.331/type.259
type.260,svc-pipeline-soap,SOAP Pipeline,0,Pipeline for SOAP,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.260
type.261,svc-pyhive-demo,PyHIVE demo service,0,,type.331,,/type.13/type.67/type.16/type.331/type.261
type.262,CDISC-patient,C-DISC Patient,0,HIVE type describing C-DISC patient,type.67,,/type.13/type.67/type.262
type.263,CDISC-drug,C-DISC Drug,0,HIVE type describing C-DISC drug,type.67,,/type.13/type.67/type.263
type.264,CDISC-adverseEvent,C-DISC Adverse Event,0,HIVE type describing C-DISC adverse event,type.67,,/type.13/type.67/type.264
type.265,CDISC-treatment,C-DISC Treatment,0,HIVE type describing C-DISC treatment,type.67,,/type.13/type.67/type.265
type.266,svc-dna-refClust,Dna Reference Cluster,0,Dna Reference Cluster,type.331,,/type.13/type.67/type.16/type.331/type.266
type.267,HIVE_Development_Project_List,HIVE User Project Summaries,0,HIVE User Project Summaries,type.111,,/type.13/type.67/type.111/type.267
type.268,Example_Patient,Example_Patient,0,Object for Honeycomb mapper tutorial,type.19,,/type.13/type.67/type.19/type.268
type.269,Example_Device,Example_Device,0,Object for Honeycomb mapper tutorial,type.19,,/type.13/type.67/type.19/type.269
type.270,HIVE_BioSample_Patient,HIVE BioSample - Patient,0,About: Patient BioSample,type.182,,/type.13/type.67/type.209/type.157/type.161/type.167/type.177/type.182/type.270
type.271,HIVE_BioSample_Patient_Cancer,HIVE BioSample - Patient - Cancer,0,About: Cancer Patient BioSample,type.270,,/type.13/type.67/type.209/type.157/type.161/type.167/type.177/type.182/type.270/type.271
type.272,svc-pipeline-sam-to-csv,SAM to CSV,0,Convert SAM files to CSV files with some formatting,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.272
type.273,svc-refseq-processor,RefSeq processor,0,RefSeq processor run parameters,type.331,,/type.13/type.67/type.16/type.331/type.273
type.274,svc-pipeline-HIV-resistance,HIV resistances,0,Analyzes the nucleotide sequence and determines if there is a resistance to HIV drugs,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.274
type.275,SDTM_DM,DEMOGRAPHICS,0,Database object containing patient demographic data,type.67,,/type.13/type.67/type.275
type.276,CART_DM,CART Patient DEMOGRAPHICS,0,Database object containing CART patient demographics,"type.275,type.67",,/type.13/type.67/type.275/type.276
type.277,STUDY,Study Metadata,0,Database object containing study metadata,type.67,,/type.13/type.67/type.277
type.278,IND,Investigational New Drug,0,Database object containing IND metadata,type.67,,/type.13/type.67/type.278
type.279,svc-andrew-hiv-pipeline,Andrew's HIV Pipeline,0,Pipeline,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.279
type.280,SDTM_AE,ADVERSE_EVENT,1,Database object containing Adverse Events,type.67,,/type.13/type.67/type.280
type.281,PAT_ADVERSE_EVENT,List of Patient AEs,0,Database object containing a list of Adverse Events associated with a patient,type.67,type.280,/type.13/type.67/type.281
type.282,TREATMENT,TREATMENT,0,Database object containing Treatment details,type.67,,/type.13/type.67/type.282
type.283,INDICATION,INDICATION,0,Database object containing disease identification details,type.67,,/type.13/type.67/type.283
type.284,SDTM_CM,CONCOMITANT_MEDICATION,1,Database object containing information about Treatment administrations ,type.67,,/type.13/type.67/type.284
type.285,PATIENT_CMS,List of Patient CMs,0,Database object containing a list of CONCOMITANT MEDICATIONs associated with a patient,type.67,type.284,/type.13/type.67/type.285
type.286,CART_TRT,CART_TREATMENT,1,Database object containing information about CART treatment administrations ,type.67,,/type.13/type.67/type.286
type.287,PATIENT_CART_TRTS,PATIENT_CART_TREATMENT,0,Database object containing information about CART TREATMENTS ADMINISTERED TO PATIENT ,type.67,type.286,/type.13/type.67/type.287
type.288,DISEASE_ID,DISEASE_ID,0,Database object containing disease identification data,type.67,,/type.13/type.67/type.288
type.289,SDTM_RS,SDTM_DISEASE_RESPONSE,0,Database object containing disease response data,type.67,,/type.13/type.67/type.289
type.290,PAT_DISEASES,PATIENT_DISEASES,0,Database object containing diseases associated to a patient,type.67,"type.288,type.289",/type.13/type.67/type.290
type.291,SDTM_DD,DEATH_DETAILS,0,Database object containing details about patient death,type.67,,/type.13/type.67/type.291
type.292,SDTM_MH,MEDICAL_HISTORY,1,Database object containing patient medical history,type.67,,/type.13/type.67/type.292
type.293,PATIENT_MH,PATIENT_MEDICAL_HISTORY,0,Database object containing patient medical history,type.67,type.292,/type.13/type.67/type.293
type.294,CART_PRODUCT,CART_PRODUCT,0,Database object containing CART product information,type.67,,/type.13/type.67/type.294
type.295,SDTM_LB,LAB_RESULT,1,Database object containing laboratory results,type.67,,/type.13/type.67/type.295
type.296,PAT_LBS,PATIENT_LAB_RESULTS,0,Database object containing laboratory results,type.67,type.295,/type.13/type.67/type.296
type.297,svc-pipeline-falcon,FALCON Pipeline,0,Pipeline for FALCON,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.297
type.298,table,Abstract table type,1,"Any comma, tab separated something reconized by Table Query",,,/type.298
type.299,csv-table,Comma separated table file,0,,"type.19,type.298",,/type.13/type.67/type.19/type.299
type.300,tsv-table,Tab separated table file,0,,"type.19,type.298",,/type.13/type.67/type.19/type.300
type.301,multimedia,Multimedia Object,0,"A type defining any multimedia object (poster, publication, video, etc)",type.126,,/type.13/type.84/type.126/type.301
type.302,sysconfig,System configuration,0,Type describing the singleton system configuration object,type.84,,/type.13/type.84/type.302
type.303,domain-id-descr,HIVE domain ID specification,0,Object describing a HIVE domain ID recognized on this HIVE installation,type.84,,/type.13/type.84/type.303
type.304,svc-dna-compress,HIVE Environment Demo,0,Performs sequence file compression on a sequence file,type.331,,/type.13/type.67/type.16/type.331/type.304
type.305,svc-pipeline-nameconcat,Demo GL Pipeline,0,Demo GL Pipeline,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.305
type.306,svc-algo-ionAnnotMapper,Ion Annotation Mapper,0,Annotation Mapper between annotation in iondb and/or profilers,type.115,,/type.13/type.67/type.16/type.331/type.115/type.306
type.307,svc-velvet-pipeline-paired,Velvet Pipeline (Paired End Reads),0,Pipeline for Velvet using paired end reads,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.307
type.308,svc-glympsinteractive,Glymps Interactive,0,Service For Glymps,type.331,,/type.13/type.67/type.16/type.331/type.308
type.309,svc-affinity-viz-peak-detect,Promiscuity Peak Detection,0,Promiscuity Peak Detection for the Affinity Visualization project,type.331,,/type.13/type.67/type.16/type.331/type.309
type.310,svc-algo-diffSat,Differential Saturation,0,Differential Saturation,type.331,,/type.13/type.67/type.16/type.331/type.310
type.311,svc-multi-download,Multiple Results Download,0,Download results from multiple different processes,type.331,,/type.13/type.67/type.16/type.331/type.311
type.312,svc-ecg,ECG ,0,ecg project,type.331,,/type.13/type.67/type.16/type.331/type.312
type.313,svc-ionseq,ionseq,0,ionseq project,type.331,,/type.13/type.67/type.16/type.331/type.313
type.314,svc-dna-codonQC,Dna Codon QC,0,Dna Codon QC,type.29,,/type.13/type.67/type.16/type.331/type.29/type.314
type.315,svc-dna-multi-qc,Dna Multi QC,0,Dna multi file QC,type.29,,/type.13/type.67/type.16/type.331/type.29/type.315
type.316,svc-renamer,Renamer,0,Renaming interface,type.331,,/type.13/type.67/type.16/type.331/type.316
type.317,svc-affinity-viz-simulated-annealing,Simulated Annealing,0,Simulated Annealing for the Affinity Visualization project,type.331,,/type.13/type.67/type.16/type.331/type.317
type.318,svc-dna-alignQC,Dna Alignment QC,0,Dna Alignment QC,type.29,,/type.13/type.67/type.16/type.331/type.29/type.318
type.319,svc-dna-mothur-16s,Mothur - 16s Pipeline,0,Pipeline for using Mothur for 16s Analysis,type.203,,/type.13/type.67/type.16/type.331/type.68/type.202/type.203/type.319
type.320,svc-agn-classifier,Agnostic Classifier,0,Agnostic Classifier,type.331,,/type.13/type.67/type.16/type.331/type.320
type.321,svc-msgfplus,MS-GF+,0,Universal Database Search Tool for Mass Spectrometry,type.331,,/type.13/type.67/type.16/type.331/type.321
type.322,svc-msgfplusinteractive,MS-GF+ Interactive,0,Service For MS-GF+,type.331,,/type.13/type.67/type.16/type.331/type.322
type.323,svc-diprofiler,DI Profiler,0,Defective Interfering particles Profiling Engine,type.331,,/type.13/type.67/type.16/type.331/type.323
type.324,svc-macs2-bdgcmp,MACS2 bdgcmp Command,0,MACS2 bdgcmp Pipeline,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.324
type.325,svc-dna-differential-profiler,Differential Profiler,0,Find differences among different Profiling outputs,type.331,,/type.13/type.67/type.16/type.331/type.325
type.326,svc-dna-kmerQC,Dna Kmer QC,0,Dna Kmer QC,type.29,,/type.13/type.67/type.16/type.331/type.29/type.326
type.327,test-encoding,Field Encoding & Encryption Demo,0,Demo for field value encoded and encrypted storage,type.13,,/type.13/type.327
type.328,svc-pipeline-guinier-analysis,Matlab Based Guinier Analysis,0,Matlab Based Guinier Analysis,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.328
type.329,svc-compressor,Data Compression Engine,0,,type.330,,/type.13/type.67/type.16/type.330/type.329
type.330,svc-data-loading-base,data loading,1,Base type for data loading backends,type.16,,/type.13/type.67/type.16/type.330
type.331,svc-computations-base,computations,1,Base type for all computations,type.16,,/type.13/type.67/type.16/type.331
type.332,svc-price,Price,0,"PRICE (Paired-Read Iterative Contig Extension) was designed to address the challenge of assembling viral genomes that comprise a small minority of the reads within ultra-deep, short-read, shotgun metagenomic datasets",type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.332
type.333,hive-hmi-base-contract,HIVE HMI base contract,0,,,,/type.333
type.338,svc-R-launcher,R launcher,0,R launcher ,type.68,,/type.13/type.67/type.16/type.331/type.68/type.338
type.334,svc-deseq,DESeq,0,DESeq,type.338,,/type.13/type.67/type.16/type.331/type.68/type.338/type.334
type.335,bio-project-request,Bioinformatics Project Request,0,Request for a new Bioinformatics Project,type.67,,/type.13/type.67/type.335
type.336,svc-hmi-uploader,HMI uploader,0,,type.330,,/type.13/type.67/type.16/type.330/type.336
type.337,svc-genome-accumulator,Genome Accumulator,0,Algorithm to compare the coverage at annotation level across alignments,type.331,,/type.13/type.67/type.16/type.331/type.337
type.338,svc-R-launcher,R launcher,0,R launcher ,type.68,,/type.13/type.67/type.16/type.331/type.68/type.338
type.339,svc-adverse-event-dedup,Adverse Event Deduplication,0,Adverse Event Deduplication,type.331,,/type.13/type.67/type.16/type.331/type.339
type.340,svc-dna-mothur-16s-post,Mothur - 16s Pipeline - Post Analysis,0,Pipeline for using Mothur for 16s Analysis - Post Analysis,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.340
type.341,svc-alignment-remapper,Alignment Remapper,0,Remap alignemts based on the multiple alignment of the subjects,type.331,,/type.13/type.67/type.16/type.331/type.341
type.342,svc-dna-umitool,UMI Filter,0,Molecular Barcoding Filtering Tool for Pair End Files,type.29,,/type.13/type.67/type.16/type.331/type.29/type.342
type.343,hmi-block-file,HMI block file,0,,type.67,,/type.13/type.67/type.343
type.344,OND_meeting_minute,Meeting Minute,0,Meeting minute,type.19,,/type.13/type.67/type.19/type.344
type.345,svc-dna-mothur-16s-post-phylogeny,Mothur - 16s Pipeline - Post Analysis - Phylogeny based Analysis,0,Pipeline for using Mothur for 16s Analysis - Post Analysis - Phylogeny based Analysis,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.345
type.346,svc-dna-mothur-16s-post-phylotype,Mothur - 16sPipeline - Post Analysis - Phylotype,0,Pipeline for using Mothur for 16s Analysis - Post Analysis - Phylotype based-analysis,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.346
type.347,svc-align-pairwise,Pairwise Alignment Engines,0,Pairwise Alignment Engines General Service,"type.350,type.25",,/type.13/type.67/type.16/type.331/type.29/type.25/type.347
type.348,svc-align-hisat2,HISAT2 aligment,0,HISAT2 based workflow,"type.91,type.349",,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.91/type.348
type.349,svc-align-paired-end,paired end enabled alignments abstract type,1,Abstract type for paired end enabled alignments,,,/type.349
type.350,svc-align-single-end,single end only aligners abstract type,1,Abstract type for single end only aligners,,,/type.350
type.351,svc-i2e-index,I2E indexing step,0,Indexing PDFs using I2E - linguamatics - program,type.331,,/type.13/type.67/type.16/type.331/type.351
type.352,svc-i2e-query-submission,I2E Query Submission step,0,Submit query to i2e server,type.331,,/type.13/type.67/type.16/type.331/type.352
type.353,HIVE_Development_Timelog,HIVE Development Timelog,0,A record of a week's work by a HIVE developer.,type.13,,/type.13/type.353
type.354,svc-panel,Panel analysis,0,Base type for all panel computations,type.331,,/type.13/type.67/type.16/type.331/type.354
type.355,new-svc-align-blast,Blast Alignment,0,Blast alignment engine optimized for HIVE performance,type.90,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90/type.355
type.356,svc-annotation-parser-parameters,Abstract annotation file parsing parameters,1,Abstract type with parameters for annotation parsers,,,/type.356
type.357,new-svc-align-blastx,Blast Alignment,0,Blast alignment engine optimized for HIVE performance,type.90,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90/type.357
type.358,new-svc-align-tblastx,Blast Alignment,0,Blast alignment engine optimized for HIVE performance,type.90,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90/type.358
type.359,svc-panel-hiv,HIV drug resistance,0,HIV drug resistance panel service,type.354,,/type.13/type.67/type.16/type.331/type.354/type.359
type.360,BioCompute_base_type,Base type for all BioCompute Objects,0,all BioComputes must inherit from this type in order to be compliant with BioCompute framework,,,/type.360
type.361,svc-idba-hybrid,IDBA-hybrid,0,"IDBA-Hybrid is an iterative De Bruijn Graph De Novo Assembler for hybrid sequencing. It is an extension of IDBA-UD algorithm. It aims at using a closed related reference genome to help de novo assembly, especially when sequencing depth is low. IDBA-Hybrid does alignment between reads and reference first to extract similar regions in the reference genome, and then it correct the similar regions based on the alignment results and apply local assembly technique to resolve potential structure virations. Finally, it groups all the reads and the contigs got from those similar regions to do de novo assembly.",type.242,,/type.13/type.67/type.16/type.331/type.68/type.202/type.242/type.361
type.362,svc-canu,Canu,0,Canu is an assembler that works well for PacBio reads.,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.362
type.363,svc-orfFinder,ORF Finder,0,NCBI Tool to Identify ORFs,type.331,,/type.13/type.67/type.16/type.331/type.363
type.364,svc-glycopeptidesearchinteractive,GlycoPeptideSearch Interactive,0,fixme,type.331,,/type.13/type.67/type.16/type.331/type.364
type.365,svc-glycopeptidesearch,Glycopeptide Search,0,Glycopeptide Search,type.331,,/type.13/type.67/type.16/type.331/type.365
type.366,svc-upload,File upload,0,,type.330,,/type.13/type.67/type.16/type.330/type.366
